Rank,Institute,Year,SS,FSR,FQE,FRU,PU,QP,IPR,FPPP,GPH,GUE,MS,GPHD,RD,WD,ESCS,PCS,PR
31,Indian Institute of Technology Mandi,2024,9.79,26.28,17.75,21.07,18.9,18.29,2.5,2.11,36.32,13.5,21.37,7.85,23.07,19.08,8.36,20,19.9
,,,,,,,,,,,,,,,,,,,
32,Chandigarh University,2024,17.95,30,16.34,11.92,16.24,20.19,9,0.32,28.65,15,12.91,9.65,23.6,30,1.95,20,24.19
,,,,,,,,,,,,,,,,,,,
33,Aligarh Muslim University,2024,11,30,17.68,16.79,26.43,25.97,4.25,2.03,32.73,13.05,11.09,6.24,5.61,12.17,3.45,20,21.83
,,,,,,,,,,,,,,,,,,,
34,Indian Institute of Technology Patna,2024,12.02,20.67,13.68,20.84,22.18,21.15,2.25,3.83,33.92,14.27,20.74,8.8,18.31,9.61,5.08,20,25.69
,,,,,,,,,,,,,,,,,,,
35,Koneru Lakshmaiah Education Foundation University (K L College of Engineering),2024,17.47,30,17.63,9.75,20.77,20.39,6,0.36,28.63,15,12.06,9.72,15.28,29.67,1.36,20,18.17
,,,,,,,,,,,,,,,,,,,
36,Kalasalingam Academy of Research and Education,2024,16.48,30,18.58,13.62,15.35,17.92,5,0.53,36.27,15,11.07,9.22,19.04,30,7.09,20,10.42
,,,,,,,,,,,,,,,,,,,
37,Kalinga Institute of Industrial Technology,2024,20,26.6,16.79,14.67,15.88,18.47,8,0.64,23.59,15,11.63,11.82,26.01,29.96,0.33,20,16.36
,,,,,,,,,,,,,,,,,,,
38,Shanmugha Arts Science Technology and Research Academy,2024,16.32,30,17.95,14.15,15.47,19.27,2.25,2.31,34.86,15,12.57,9.67,14.25,28.22,4.74,20,15.11
,,,,,,,,,,,,,,,,,,,
39,Visvesvaraya National Institute of Technology Nagpur,2024,13.94,26.24,17.47,17.07,17.56,16.91,6.5,2.39,35.49,15,15.62,7.79,11.95,20.22,3.45,20,21.28
,,,,,,,,,,,,,,,,,,,
40,National Institute of Technology Silchar,2024,14.35,22.14,14.98,15.66,24.45,23.65,4.5,1.22,33.97,15,15.91,8.18,13.18,16.15,7.53,20,10.06
,,,,,,,,,,,,,,,,,,,
41,Institute of Chemical Technology,2024,10.37,24.3,16.66,19.9,18.07,19.7,7,4.31,29.64,15,13.06,9.04,6.66,24.13,3.4,20,20.74
,,,,,,,,,,,,,,,,,,,
42,UPES,2024,15.5,26.03,15.61,15.98,22.92,24.99,4,0.28,24.87,15,10.64,0.6,20.83,21.8,0.08,20,25.69
,,,,,,,,,,,,,,,,,,,
43,Malaviya National Institute of Technology,2024,14.97,23.94,15.75,14.59,22.8,22.92,1.25,1.7,31.3,15,14.89,8.23,12.68,19.53,7.55,20,11.12
,,,,,,,,,,,,,,,,,,,
44,National Institute of Technology Durgapur,2024,14.09,23.65,16.12,16.56,18.45,17.92,0.75,1.59,38.71,15,14.89,9.45,14.74,14.44,9.8,20,20.18
,,,,,,,,,,,,,,,,,,,
45,National Institute of Technology Delhi,2024,7.96,30,19.59,19.64,14.91,13.8,0.5,0.96,32.6,15,17.27,2.76,20.57,25.11,11.86,20,21.83
,,,,,,,,,,,,,,,,,,,
46,Sri Sivasubramaniya Nadar College of Engineering,2024,13.5,26.94,15.12,14.37,20.29,19.28,1,0.75,35.06,15,12.57,6.71,4.12,25.67,7.31,20,20.46
,,,,,,,,,,,,,,,,,,,
47,International Institute of Information Technology Hyderabad,2024,9.33,22.86,15.64,17.63,18.7,16.32,1.5,4.37,27.16,12.03,25,2.71,20.96,19.48,2.7,20,26.9
,,,,,,,,,,,,,,,,,,,
48,Birla Institute of Technology,2024,13.49,29.9,17.05,15.49,18.69,18.23,1.25,1.04,27.47,14.72,14.88,5.43,11.99,19.05,1.41,20,19.04
,,,,,,,,,,,,,,,,,,,
